document_id,ticker,company,form_type,filing_date,source,characters,chunks,source_url
financebench_3M_2018_10K,3M,3M,10k,2018,benchmark-evidence,4183,2,https://investors.3m.com/financials/sec-filings/content/0001558370-19-000470/0001558370-19-000470.pdf
financebench_3M_2022_10K,3M,3M,10k,2022,benchmark-evidence,3117,2,https://investors.3m.com/financials/sec-filings/content/0000066740-23-000014/0000066740-23-000014.pdf
financebench_3M_2023Q2_10Q,3M,3M,10q,2023,benchmark-evidence,1474,1,https://investors.3m.com/financials/sec-filings/content/0000066740-23-000058/0000066740-23-000058.pdf
financebench_ACTIVISIONBLIZZARD_2019_10K,ACTIVISIONBLIZZARD,Activision Blizzard,10k,2019,benchmark-evidence,6921,4,https://investor.activision.com/static-files/32abe798-add2-4770-9c7d-4cd3a840ede2
financebench_ADOBE_2015_10K,ADOBE,Adobe,10k,2015,benchmark-evidence,12069,3,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTUtRklOQUwucGRm
financebench_ADOBE_2016_10K,ADOBE,Adobe,10k,2016,benchmark-evidence,1656,1,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTYtRklOQUwucGRm
financebench_ADOBE_2017_10K,ADOBE,Adobe,10k,2017,benchmark-evidence,4908,2,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMTctRklOQUwucGRm
financebench_ADOBE_2022_10K,ADOBE,Adobe,10k,2022,benchmark-evidence,2160,1,https://www.adobe.com/pdf-page.html?pdfTarget=aHR0cHM6Ly93d3cuYWRvYmUuY29tL2NvbnRlbnQvZGFtL2NjL2VuL2ludmVzdG9yLXJlbGF0aW9ucy9wZGZzL0FEQkUtMTBLLUZZMjItRklOQUwucGRm
financebench_AES_2022_10K,AES,AES Corporation,10k,2022,benchmark-evidence,7705,4,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000874761/3be55db1-bf7e-407a-8062-6a6b8d9dd2f5.pdf
financebench_AMAZON_2017_10K,AMAZON,Amazon,10k,2017,benchmark-evidence,3689,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/02da2a86-7bb9-4bcb-95ae-4ce27ea5e3bc.pdf
financebench_AMAZON_2019_10K,AMAZON,Amazon,10k,2019,benchmark-evidence,1228,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/4d39f579-19d8-4119-b087-ee618abf82d6.pdf
financebench_AMCOR_2020_10K,AMCOR,Amcor,10k,2020,benchmark-evidence,2030,1,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1517907/Annual%20report%20%5BSection%2013%20and%2015(d)%2C%20not%20S-K%20Item%20405%5D.pdf
financebench_AMCOR_2022_8K_dated-2022-07-01,AMCOR,Amcor,8k,2022,benchmark-evidence,2018,1,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1517333/Current%20report.pdf
financebench_AMCOR_2023_10K,AMCOR,Amcor,10k,2023,benchmark-evidence,5133,3,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1556025/Annual%20report%20%5BSection%2013%20and%2015(d)%2C%20not%20S-K%20Item%20405%5D.pdf
financebench_AMCOR_2023Q2_10Q,AMCOR,Amcor,10q,2023,benchmark-evidence,298,1,https://portalvhds1fxb0jchzgjph.blob.core.windows.net/press-releases-attachments/1516809/Quarterly%20report%20%5BSections%2013%20or%2015(d)%5D.pdf
financebench_AMCOR_2023Q4_EARNINGS,AMCOR,Amcor,Earnings,2023,benchmark-evidence,1592,1,https://assets.ctfassets.net/f7tuyt85vtoa/lkZ2DcdUS4nrhXzLdqCIw/4de2a47a58532c829039cfa972c7ad78/Amcor_FY23_-_Press_Release_FINAL.pdf
financebench_AMD_2015_10K,AMD,AMD,10k,2015,benchmark-evidence,2998,2,https://ir.amd.com/sec-filings/filter/annual-filings/content/0000002488-16-000111/0000002488-16-000111.pdf
